serial	name	descrption	date	category	thumb	info
22	인텔 코어i7-6세대 6700 (스카이레이크) 	인텔(소켓1151) / 스카이레이크 / 쿼드(4)코어 / 쓰레드 8개 / 기본 클럭: 3.4GHz / 1MB / 8MB / 64비트 / 설계전력: 65W / 메모리 규격: DDR4 / DDR3L / 메모리 버스: 2133MHz / 인텔 HD 530	2015-09-01	1	45	46
23	인텔 코어i9-9세대 9900KS (커피레이크-R) 	인텔(소켓1151v2) / 커피레이크-R / 옥타(8)코어 / 쓰레드 8개 / 기본 클럭: 3.6GHz / 12MB / 64비트 / 설계전력: 95W / 메모리 규격: DDR4 / 메모리 버스: 2666MHz / 기술 지원: 옵테인 / 출시가: 349~360달러(VAT별도)	2019-10-01	1	47	48
24	인텔 코어i7-9세대 9700F (커피레이크-R) 	인텔(소켓1151v2) / 커피레이크-R / 옥타(8)코어 / 쓰레드 8개 / 기본 클럭: 3.0GHz / 12MB / 64비트 / 설계전력: 65W / 메모리 규격: DDR4 / 메모리 버스: 2666MHz / 기술 지원: 옵테인 / 출시가: 298~310달러(VAT별도)	2019-05-01	1	49	50
25	인텔 코어X-시리즈 i9-10920X (캐스케이드레이크) 	인텔(소켓2066) / 케스케이드레이크 / 12코어 / 쓰레드 24개 / 기본 클럭: 3.5GHz / 19.25MB / 설계전력: 165W / 메모리 규격: DDR4 / 메모리 버스: 2933MHz / PCIe 3.0 / 기술 지원: 하이퍼스레딩, 옵테인 / 출시가: 689~700달러(VAT별도)	2019-12-01	1	51	52
26	인텔 코어i5-8세대 8600 (커피레이크) 	인텔(소켓1151v2) / 커피레이크 / 헥사(6)코어 / 쓰레드 6개 / 기본 클럭: 3.1GHz / 9MB / 64비트 / 설계전력: 65W / 메모리 규격: DDR4 / 메모리 버스: 2666MHz / 인텔 UHD 630 / 기술 지원: 옵테인	2018-04-01	1	53	54
27	인텔 코어i5-9세대 9500F (커피레이크-R) 	인텔(소켓1151v2) / 커피레이크-R / 헥사(6)코어 / 쓰레드 6개 / 기본 클럭: 3.0GHz / 9MB / 64비트 / 설계전력: 65W / 메모리 규격: DDR4 / 메모리 버스: 2666MHz / 기술 지원: 옵테인 / 출시가: 167~177달러(VAT별도)	2019-06-01	1	55	56
28	인텔 코어i9-9세대 9900 (커피레이크-R) 	인텔(소켓1151v2) / 커피레이크-R / 옥타(8)코어 / 쓰레드 16개 / 기본 클럭: 3.1GHz / 16MB / 설계전력: 65W / 메모리 규격: DDR4 / 메모리 버스: 2666MHz / 인텔 UHD 630 / PCIe 3.0 / 기술 지원: 하이퍼스레딩, 옵테인 / 출시가: 439~449달러(VAT별도)	2019-08-01	1	57	58
29	인텔 코어X-시리즈 i9-10900X (캐스케이드레이크) 	인텔(소켓2066) / 케스케이드레이크 / 10코어 / 쓰레드 20개 / 기본 클럭: 3.7GHz / 19.25MB / 설계전력: 165W / 메모리 규격: DDR4 / 메모리 버스: 2933MHz / PCIe 3.0 / 기술 지원: 하이퍼스레딩, 옵테인 / 출시가: 590~599달러(VAT별도)	2019-12-01	1	59	60
30	AMD 라이젠 스레드리퍼 1900X (화이트헤븐) 	AMD(소켓TR4) / 화이트헤븐 / 옥타(8)코어 / 쓰레드 16개 / 기본 클럭: 3.8GHz / 4MB / 16MB / 설계전력: 180W / 메모리 규격: DDR4 / 메모리 버스: 2667MHz / 64비트 / 기술 지원: XFR, SENSEMI / 정품: 쿨러 미포함	2017-09-01	1	61	62
31	ASUS PRIME B365M-A 코잇 	인텔(소켓1151v2) / DDR4 / 메모리 용량: 최대 64GB / XMP / (인텔) B365 / 옵테인 / VGA 연결: PCIe3.0 x16 / M-ATX / 그래픽 출력: D-SUB , DVI , HDMI / PCIe 슬롯: 3개 / M.2: 2개 / SATA3: 6개 / PS/2: 2개 / USB 3.1 Gen 1: 후면 5개 / 기가비트 LAN / UEFI	2019-01-01	2	49	50
32	BIOSTAR RACING Z490GTA EVO 	인텔(소켓1200) / 전원부: 16페이즈 / DDR4 / 메모리 용량: 최대 128GB / (인텔) Z490 / VGA 연결: PCIe3.0 x16 / 그래픽 출력: HDMI / ATX / PCIe 슬롯: 5개 / M.2: 2개 / SATA3: 6개 / PS/2: 콤보 1개 / USB 3.1 Gen 1: 후면 8개 / USB 3.1 Gen 2: 후면 2개 / 기가비트 LAN / 무선 LAN / LED 라이트 /	2453-01-24	2	51	52
33	GIGABYTE B365M DS3H 듀러블에디션 피씨디렉트 	인텔(소켓1151v2) / 전원부: 6페이즈 / DDR4 / 메모리 용량: 최대 64GB / (인텔) B365 / XMP / 옵테인 / M-ATX / VGA 연결: PCIe3.0 x16 / 그래픽 출력: D-SUB, DVI, HDMI / PCIe 슬롯: 3개 / M.2: 1개 / SATA3: 6개 / PS/2: 콤보 1개 / USB 2.0: 후면 2개 / USB 3.1 Gen 1: 후면 4개 / 기가비트 LAN /	2452-10-16	2	53	54
34	ASRock B460M 스틸레전드 디앤디컴	인텔(소켓1200) / 전원부: 9페이즈 / DDR4 / 메모리 용량: 최대 128GB / (인텔) B460 / XMP / 옵테인 / M-ATX / VGA 연결: PCIe3.0 x16 / GPU 기술: CrossFire X / 그래픽 출력: HDMI, DP / PCIe 슬롯: 3개 / M.2: 2개 / SATA3: 6개 / PS/2: 콤보 1개 / USB 2.0: 후면 2개 / USB 3.1 Gen 1: 후면 5개 / 	2453-01-33	2	55	56
35	MSI A320M-A PRO	AMD(소켓AM4) / DDR4 / 메모리 용량: 최대 32GB / VGA 연결: PCIe3.0 x16 / (AMD) A320 / 그래픽 출력: DVI , HDMI / PCIe 슬롯: 2개 / M-ATX / SATA3: 4개 / PS/2: 2개 / USB 2.0: 후면 2개 / USB 3.1 Gen 1: 후면 4개 / 기가비트 LAN / UEFI / AMD APU 지원	2452-10-19	2	57	58
36	ASUS EX A320M-GAMING 대원CTS	AMD(소켓AM4) / 전원부: 6페이즈 / DDR4 / 메모리 용량: 최대 64GB / (AMD) A320 / VGA 연결: PCIe3.0 x16 / 그래픽 출력: DVI , HDMI / M-ATX / PCIe 슬롯: 3개 / M.2: 1개 / SATA3: 4개 / PS/2: 2개 / USB 2.0: 후면 2개 / USB 3.1 Gen 1: 후면 4개 / 기가비트 LAN / UEFI / AMD APU 지원 / LED 라이트 / LED 헤더 / AURA SYNC	2452-07-07	2	59	60
37	MSI MAG B450M 박격포 맥스 	AMD(소켓AM4) / 전원부: 7페이즈 / DDR4 / 메모리 용량: 최대 128GB / (AMD) B450 / XMP / VGA 연결: PCIe3.0 x16 / M-ATX / GPU 기술: CrossFire / 그래픽 출력: HDMI, DP / PCIe 슬롯: 4개 / M.2: 2개 / SATA3: 4개 / PS/2: 콤보 1개 / USB 2.0: 후면 2개 / USB 3.1 Gen 1: 후면 4개 / USB 3.1 Gen 2: 후면 2개 / 기가비트 LAN / UEFI / AMD APU 지원 / LED 라이트 / MYSTIC LIGHT	2452-10-18	2	61	62
38	ASUS TUF B450M-PRO GAMING STCOM	AMD(소켓AM4) / 전원부: 10페이즈 / DDR4 / 메모리 용량: 최대 64GB / (AMD) B450 / VGA 연결: PCIe3.0 x16 / GPU 기술: CrossFire X / M-ATX / 그래픽 출력: DVI, HDMI / PCIe 슬롯: 3개 / M.2: 2개 / PS/2: 콤보 1개 / USB 2.0: 후면 2개 / USB 3.1 Gen 1: 후면 3개 / USB 3.1 Gen 2: 후면 1개 / 기가비트 LAN / UEFI / LED 라이트 / LED 헤더 / AURA SYNC	2452-10-15	2	63	64
39	MSI B360M 박격포	인텔(소켓1151v2) / 전원부: 7페이즈 / DDR4 / 메모리 용량: 최대 64GB / (인텔) B360 / XMP / 옵테인 / M-ATX / VGA 연결: PCIe3.0 x16 / 그래픽 출력: DVI, HDMI, DP / PCIe 슬롯: 4개 / M.2: 2개 / SATA3: 4개 / PS/2: 콤보 1개 / USB 2.0: 후면 4개 / USB 3.1 Gen 2: 후면 2개 / 기가비트 LAN / UEFI / LED 라이트 / LED 헤더 / MYSTIC LIGHT	2452-07-07	2	65	66
40	MSI MAG B460M 박격포	인텔(소켓1200) / 전원부: 14페이즈 / DDR4 / 메모리 용량: 최대 128GB / (인텔) B460 / XMP / 옵테인 / M-ATX / VGA 연결: PCIe3.0 x16 / GPU 기술: CrossFire / 그래픽 출력: HDMI, DP / PCIe 슬롯: 3개 / M.2: 2개 / SATA3: 6개 / PS/2: 콤보 1개 / USB 2.0: 후면 2개 / USB 3.1 Gen 1: 후면 4개 / 기가비트 LAN / 2.5기가비트 LAN / UEFI / LED 헤더 / MYSTIC LIGHT	2453-01-24	2	67	68
41	ASUS TUF Gaming Z490-PLUS 코잇 	인텔(소켓1200) / 전원부: 14페이즈 / DDR4 / 메모리 용량: 최대 128GB / (인텔) Z490 / XMP / 옵테인 / ATX / VGA 연결: PCIe3.0 x16 / GPU 기술: CrossFire / 그래픽 출력: HDMI, DP / PCIe 슬롯: 5개 / M.2: 2개 / SATA3: 6개 / PS/2: 콤보 1개 / USB 3.1 Gen 1: 후면 4개 / USB 3.1 Gen 2: 후면 2개 / 기가비트 LAN / LED 라이트 / LED 헤더 / AURA SYNC	2453-01-24	2	69	70
42	ASRock B460M PRO4 디앤디컴 	인텔(소켓1200) / 전원부: 9페이즈 / DDR4 / 메모리 용량: 최대 128GB / (인텔) B460 / XMP / 옵테인 / M-ATX / VGA 연결: PCIe3.0 x16 / GPU 기술: CrossFire X / 그래픽 출력: D-SUB, HDMI, DP / PCIe 슬롯: 3개 / M.2: 2개 / SATA3: 6개 / PS/2: 콤보 1개 / USB 2.0: 후면 2개 / USB 3.1 Gen 1: 후면 5개 / 기가비트 LAN / UEFI / LED 라이트 / LED 헤더 / POLYCHROME	2453-01-24	2	71	72
43	GIGABYTE B450M AORUS ELITE 피씨디렉트	AMD(소켓AM4) / DDR4 / 메모리 용량: 최대 128GB / XMP / (AMD) B450 / VGA 연결: PCIe3.0 x16 / GPU 기술: CrossFire / M-ATX / 그래픽 출력: DVI, HDMI / PCIe 슬롯: 3개 / M.2: 2개 / SATA3: 4개 / PS/2: 콤보 1개 / USB 2.0: 후면 2개 / USB 3.1 Gen 1: 후면 4개 / USB 3.1 Gen 2: 후면 2개 / 기가비트 LAN / UEFI / LED 헤더 / RGB FUSION	2452-10-23	2	73	74
44	ASRock B460M PRO4 에즈윈 	인텔(소켓1200) / 전원부: 9페이즈 / DDR4 / 메모리 용량: 최대 128GB / (인텔) B460 / XMP / 옵테인 / M-ATX / VGA 연결: PCIe3.0 x16 / GPU 기술: CrossFire X / 그래픽 출력: D-SUB, HDMI, DP / PCIe 슬롯: 3개 / M.2: 2개 / SATA3: 6개 / PS/2: 콤보 1개 / USB 2.0: 후면 2개 / USB 3.1 Gen 1: 후면 5개 / 기가비트 LAN / UEFI / LED 라이트 / LED 헤더 / POLYCHROME	2453-01-24	2	75	76
45	ASRock A320M-HDV R4.0 에즈윈 	AMD(소켓AM4) / 전원부: 6페이즈 / DDR4 / 메모리 용량: 최대 32GB / (AMD) A320 / VGA 연결: PCIe3.0 x16 / 그래픽 출력: D-SUB, DVI, HDMI / M-ATX / PCIe 슬롯: 2개 / M.2: 1개 / SATA3: 4개 / PS/2: 콤보 1개 / USB 2.0: 후면 2개 / USB 3.1 Gen 1: 후면 4개 / 기가비트 LAN / UEFI	2452-07-15	2	77	78
46	MSI MPG B450 게이밍 프로 카본 맥스 WIFI 	AMD(소켓AM4) / DDR4 / 메모리 용량: 최대 128GB / VGA 연결: PCIe3.0 x16 / (AMD) B450 / GPU 기술: CrossFire / 그래픽 출력: HDMI, DP / ATX / PCIe 슬롯: 5개 / M.2: 2개 / SATA3: 6개 / PS/2: 콤보 1개 / USB 2.0: 후면 2개 / USB 3.1 Gen 1: 후면 2개 / USB 3.1 Gen 2: 후면 2개 / 기가비트 LAN / 무선 LAN / 블루투스 / UEFI / AMD APU 지원 / LED 라이트 / LED 헤더 / MYSTIC LIGHT	2453-01-23	2	79	80
47	ASUS PRIME Z490M-PLUS 인텍앤컴퍼니 	인텔(소켓1200) / 전원부: 9페이즈 / DDR4 / 메모리 용량: 최대 128GB / (인텔) Z490 / XMP / 옵테인 / M-ATX / VGA 연결: PCIe3.0 x16 / GPU 기술: CrossFire / 그래픽 출력: DVI, HDMI, DP / PCIe 슬롯: 4개 / M.2: 2개 / SATA3: 5개 / PS/2: 콤보 1개 / USB 2.0: 후면 2개 / USB 3.1 Gen 1: 후면 2개 / USB 3.1 Gen 2: 후면 2개 / 기가비트 LAN / LED 헤더	2453-01-24	2	81	82
48	ASUS TUF Gaming X570-PLUS 대원CTS 	AMD(소켓AM4) / DDR4 / 메모리 용량: 최대 128GB / VGA 연결: PCIe4.0 x16 / (AMD) X570 / GPU 기술: CrossFire X / 그래픽 출력: HDMI, DP / ATX / PCIe 슬롯: 5개 / M.2: 2개 / SATA3: 8개 / PS/2: 콤보 1개 / USB 3.1 Gen 1: 후면 4개 / USB 3.1 Gen 2: 후면 3개 / 기가비트 LAN / UEFI / AMD APU 지원 / LED 라이트 / LED 헤더 / AURA SYNC	2452-10-18	2	83	84
49	BIOSTAR H310MHP 이엠텍 	인텔(소켓1151v2) / 전원부: 4+1페이즈 / DDR4 / 메모리 용량: 최대 32GB / (인텔) H310 / VGA 연결: PCIe3.0 x16 / 그래픽 출력: D-SUB, HDMI / M-ATX / PCIe 슬롯: 3개 / SATA3: 4개 / PS/2: 2개 / USB 2.0: 후면 4개 / USB 3.1 Gen 1: 후면 2개 / 기가비트 LAN / UEFI	2452-10-81	2	85	86
50	ASRock B450M PRO4 에즈윈 	AMD(소켓AM4) / 전원부: 9페이즈 / DDR4 / 메모리 용량: 최대 64GB / (AMD) B450 / VGA 연결: PCIe3.0 x16 / GPU 기술: CrossFire X / M-ATX / 그래픽 출력: D-SUB, DVI, HDMI / PCIe 슬롯: 3개 / M.2: 2개 / SATA3: 4개 / PS/2: 콤보 1개 / USB 2.0: 후면 2개 / USB 3.1 Gen 1: 후면 4개 / USB 3.1 Gen 2: 후면 2개 / 기가비트 LAN / UEFI / AMD APU 지원 / LED 헤더	2452-07-10	2	87	88
51	MSI H310M PRO-VD PLUS 	인텔(소켓1151v2) / 전원부: 7페이즈 / DDR4 / 메모리 용량: 최대 32GB / (인텔) H310 / XMP / VGA 연결: PCIe3.0 x16 / M-ATX / 그래픽 출력: D-SUB, DVI / PCIe 슬롯: 3개 / SATA3: 4개 / PS/2: 콤보 1개 / USB 2.0: 후면 4개 / USB 3.1 Gen 1: 후면 2개 / 기가비트 LAN / UEFI	2452-07-14	2	89	90
52	ASUS PRIME B365M-A 코잇 	인텔(소켓1151v2) / DDR4 / 메모리 용량: 최대 64GB / XMP / (인텔) B365 / 옵테인 / VGA 연결: PCIe3.0 x16 / M-ATX / 그래픽 출력: D-SUB, DVI, HDMI / PCIe 슬롯: 3개 / M.2: 2개 / SATA3: 6개 / PS/2: 2개 / USB 3.1 Gen 1: 후면 5개 / 기가비트 LAN / UEFI	2452-10-12	2	91	92
53	ASUS TUF Gaming B460M-PLUS STCOM	인텔(소켓1200) / DDR4 / 메모리 용량: 최대 128GB / XMP / (인텔) B460 / 옵테인 / VGA 연결: PCIe3.0 x16 / M-ATX / GPU 기술: CrossFire X / 그래픽 출력: DVI, HDMI, DP / PCIe 슬롯: 3개 / M.2: 2개 / SATA3: 6개 / PS/2: 콤보 1개 / USB 2.0: 후면 2개 / USB 3.1 Gen 1: 후면 4개 / 기가비트 LAN / UEFI / LED 라이트 / LED 헤더 / AURA SYNC	2453-01-24	2	93	94
54	GeIL DDR4 8G PC4-25600 CL22 EVO X II AMD Gray RGB 	8GB / PC용 / DDR4 /  패키지: 1개 / 3200MHz (PC4-25600) / 램타이밍: CL22-22-22-52 / 1.20V / 히트싱크: 방열판 / 방열판 색상: 블랙 / LED색상: RGB / LED 라이트 / LED 시스템: AURA SYNC, MYSTIC LIGHT, RGB FUSION, POLYCHROME	2020-04-01	3	95	96
55	ADATA XPG DDR4 16G PC4-25600 CL16 SPECTRIX D60G RGB 	8GB / PC용 / DDR4 /  패키지: 2개 / 3200MHz (PC4-25600) / 램타이밍: CL16-18-18 / 1.35V / 히트싱크: 방열판 / 방열판 색상: 실버/그레이 / LED색상: RGB / LED 라이트 / XMP / LED 시스템: AURA SYNC, MYSTIC LIGHT, RGB FUSION, POLYCHROME, XPG RGB	2019-08-01	3	97	98
56	써멀테이크 DDR4 16G PC4-25600 CL16 TOUGHRAM RGB 블랙 	8GB / PC용 / DDR4 /  패키지: 2개 / 3200MHz (PC4-25600) / 램타이밍: CL16 / 1.35V / 히트싱크: 방열판 / 방열판 색상: 블랙 / LED 라이트 / XMP / LED 시스템: AURA SYNC, MYSTIC LIGHT, RGB FUSION, POLYCHROME, RAZER CHROMA, TT RGB PLUS	2019-12-01	3	99	100
57	GeIL DDR4 8G PC4-25600 CL22 SUPER LUCE RGB Sync 블랙 	8GB / PC용 / DDR4 /  패키지: 1개 / 3200MHz (PC4-25600) / 램타이밍: CL22-22-22-52 / 1.20V / 히트싱크: 방열판 / 방열판 색상: 블랙 / LED색상: RGB / LED 라이트 / LED 시스템: AURA SYNC, MYSTIC LIGHT, RGB FUSION, POLYCHROME	2020-05-01	3	101	102
58	삼성전자 DDR4 16G PC4-21300 (정품) 	16GB / PC용 / DDR4 /  패키지: 1개 / 2666MHz (PC4-21300) / 히트싱크: 미포함	2018-03-01	3	103	104
59	삼성전자 DDR4 32G PC4-21300 (정품) 	32GB / PC용 / DDR4 /  패키지: 1개 / 2666MHz (PC4-21300) / 히트싱크: 미포함	2019-08-01	3	105	106
60	ADATA XPG DDR4 16G PC4-25600 CL16 SPECTRIX D60G RGB	16GB / PC용 / DDR4 /  패키지: 2개 / 3200MHz (PC4-25600) / 램타이밍: CL16-18-18 / 1.35V / 히트싱크: 방열판 / 방열판 색상: 실버/그레이 / LED색상: RGB / LED 라이트 / XMP / LED 시스템: AURA SYNC, MYSTIC LIGHT, RGB FUSION, POLYCHROME, XPG RGB	2019-08-01	3	107	108
61	삼성전자 노트북 DDR4 16G PC4-21300 (정품) 	16GB / 노트북용 / DDR4 /  패키지: 1개 / 2666MHz (PC4-21300) / 히트싱크: 미포함	2018-08-01	3	109	110
62	TeamGroup T-Force DDR4 16G PC4-25600 CL16 Delta RGB	16GB / PC용 / DDR4 / 패키지: 2개 / 3200MHz (PC4-25600) / 램타이밍: CL16-18-18-38 / 1.35V / 히트싱크: 방열판 / 방열판 색상: 블랙 / LED색상: RGB / LED 라이트 / XMP / LED 시스템: AURA SYNC, MYSTIC LIGHT, RGB FUSION, POLYCHROME, RAZER CHROMA, TT RGB PLUS	2018-12-01	3	111	112
63	TeamGroup T-Force DDR4 16G PC4-25600 CL16 XTREEM ARGB 	16GB / PC용 / DDR4 /  패키지: 2개 / 3200MHz (PC4-25600) / 램타이밍: CL16-18-18-38 / 1.35V / 히트싱크: 방열판 / 방열판 색상: 블루 / LED색상: RGB / LED 라이트 / LED 시스템: AURA SYNC, MYSTIC LIGHT, RGB FUSION, POLYCHROME, T-FORCE BLITZ	2020-01-01	3	113	114
64	G.SKILL DDR4 32G PC4-28800 CL16 TRIDENT Z NEO C (16Gx2) 	32GB / PC용 / DDR4 / 패키지: 2개 / 3600MHz (PC4-28800) / 램타이밍: CL16-19-19-39 / 1.35V / 히트싱크: 방열판 / 방열판 색상: 블랙 / LED색상: RGB / LED 라이트 / XMP / LED 시스템: AURA SYNC, MYSTIC LIGHT, RGB FUSION, POLYCHROME	2019-09-01	3	115	116
