serial	seller	product	count	price
261 	7 	141	62	156900
262 	7 	117	91	154100
263 	7 	13	28	1841700
264 	7 	66	6	140500
265 	7 	149	2	138400
266 	7 	146	37	201000
267 	7 	142	53	52600
268 	7 	73	46	308900
269 	7 	83	59	380000
270 	7 	142	80	117500
271 	7 	109	37	27600
272 	7 	135	18	75900
273 	7 	114	49	113400
274 	7 	110	70	87700
275 	7 	6	54	301900
276 	7 	100	29	236700
277 	7 	8	20	96200
278 	7 	46	34	203600
279 	7 	84	96	700700
280 	7 	134	18	60000
281 	7 	60	71	208700
282 	7 	20	30	514700
283 	7 	31	99	223500
284 	7 	91	7	92600
285 	8 	15	17	171200
286 	3 	49	18	154300
287 	7 	128	85	27900
288 	8 	94	53	340900
289 	8 	37	91	230900
290 	8 	105	84	141500
291 	8 	1	51	256800
292 	8 	138	6	95700
293 	8 	132	37	108800
294 	8 	132	48	127400
295 	8 	3	58	528200
296 	8 	91	78	182500
297 	8 	35	33	42700
298 	8 	89	29	299900
299 	8 	21	75	1674500
300 	8 	37	86	86800
301 	8 	96	71	219100
302 	8 	100	2	188700
303 	8 	147	77	67000
304 	8 	46	11	131700
305 	8 	25	13	206300
306 	8 	57	19	66800
307 	8 	43	64	73900
308 	8 	90	45	861000
309 	8 	68	24	114700
310 	8 	46	75	192700
311 	8 	128	96	41900
312 	8 	28	82	643100
313 	8 	94	10	387400
314 	8 	102	73	127900
315 	8 	126	55	186700
316 	9 	92	45	22700
317 	9 	105	63	110800
318 	9 	9	60	249800
319 	9 	149	28	89400
320 	9 	127	71	95600
321 	9 	95	25	192900
322 	9 	9	4	293100
323 	9 	45	13	144000
324 	9 	1	8	194500
325 	9 	99	35	44600
326 	9 	142	58	121000
327 	9 	103	13	135900
328 	9 	121	76	170400
329 	9 	93	3	151800
330 	9 	114	57	20500
331 	9 	144	38	145300
332 	9 	34	52	172100
333 	9 	114	80	142600
334 	9 	109	51	85200
335 	9 	63	43	233700
336 	9 	50	10	165100
337 	9 	131	35	136100
338 	9 	123	75	142400
339 	9 	72	94	691800
340 	9 	106	30	67800
341 	9 	43	87	197300
342 	9 	145	87	179000
343 	9 	15	33	180000
344 	9 	98	89	113500
345 	9 	100	18	102200
346 	9 	60	71	117600
347 	9 	50	35	94400
348 	9 	43	56	72100
349 	9 	69	41	273800
350 	9 	77	36	579500
351 	9 	61	34	64900
352 	9 	123	23	72100
353 	9 	11	29	527400
354 	9 	148	68	258300
355 	9 	90	61	799700
356 	9 	147	64	126100
357 	9 	62	49	185100
358 	9 	50	78	204100
359 	9 	32	51	290300
360 	9 	89	65	217800
361 	9 	18	63	158400
362 	9 	125	94	52200
363 	9 	89	69	193500
364 	9 	146	45	96700
365 	9 	38	32	180000
366 	9 	124	47	167200
367 	9 	119	68	118500
368 	9 	145	81	90200
369 	9 	29	72	863300
370 	9 	57	16	172000
371 	10 	12	57	312200
372 	10 	27	70	235000
373 	10 	118	66	130600
374 	10 	126	6	109100
375 	10 	3	63	572300
376 	10 	132	70	61400
377 	10 	123	93	130300
378 	10 	51	30	150000
379 	10 	150	85	134200
380 	10 	38	78	166500
381 	10 	112	89	7100
382 	10 	21	80	1590700
383 	10 	64	65	336700
384 	10 	109	96	149600
385 	10 	88	34	168400
386 	10 	46	42	218200
387 	10 	127	51	48100
388 	10 	47	90	312800
389 	10 	119	84	141800
390 	10 	105	49	44100
391 	10 	35	45	151100
392 	10 	136	65	393000
393 	10 	25	53	339100
394 	10 	20	65	382200
395 	10 	36	71	82900
396 	10 	15	29	253100
397 	10 	36	6	190500
398 	10 	62	27	130100
399 	10 	143	73	323800
400 	10 	70	48	741200
401 	10 	149	16	106300
402 	10 	54	96	36700
403 	10 	134	86	90600
404 	10 	13	99	1858200
405 	10 	129	83	170800
406 	10 	133	54	35600
407 	10 	95	16	148100
408 	10 	4	20	142700
409 	10 	149	8	69400
410 	10 	4	7	224900
411 	10 	147	5	129100
412 	10 	50	77	78400
413 	10 	70	45	739300
414 	10 	138	91	128600
415 	10 	31	70	196000
416 	10 	45	61	123400
417 	10 	66	18	156700
418 	10 	43	76	164100
419 	10 	119	30	74600
420 	10 	92	88	71200
421 	10 	143	76	283500
422 	10 	22	75	547000
423 	10 	75	95	703400
424 	10 	64	23	360400
425 	10 	29	45	833100
426 	10 	20	6	479000
427 	10 	31	70	206700
428 	10 	52	46	96900
429 	10 	129	85	104300
430 	10 	71	1	342400
431 	10 	126	84	156800
432 	10 	36	65	55000
433 	10 	133	79	47300
434 	10 	131	80	129700
435 	10 	103	97	89300
436 	10 	124	46	91500
437 	10 	109	43	176800
438 	10 	136	73	420000
439 	10 	116	52	138600
440 	10 	11	18	475100
441 	10 	11	88	394500
442 	10 	98	95	197800
443 	10 	149	76	85400
444 	10 	85	30	603200
445 	10 	56	3	203300
446 	10 	84	68	648900
447 	10 	137	72	113900
448 	10 	4	41	220700
449 	10 	150	37	157900
450 	10 	25	23	254300
451 	10 	148	10	262600
452 	10 	93	56	191100
453 	10 	66	52	129700
454 	10 	10	66	564900
455 	10 	63	37	277300
456 	10 	124	67	93200
457 	10 	83	82	430800
458 	10 	66	78	131200
459 	10 	43	78	174000
460 	10 	94	81	372100
461 	10 	147	50	57700
462 	10 	87	56	324000
