예약번호	예식장번호	인원수	형태번호	식사종류	앨범	청첩장	드레스	날짜	결제여부
16201	10	100	9	1	1	2	0	2020-11-13	1
16242	15	250	9	3	0	3	0	2021-03-30	1
16257	33	300	5	2	1	2	1	2021-01-08	1
16300	37	150	2	2	0	3	1	2021-01-17	0
16435	1	150	1	1	1	2	1	2020-12-27	1
16479	37	120	2	2	1	1	0	2021-02-21	1
16485	19	250	5	2	0	0	1	2020-12-26	0
16593	22	260	5	3	1	2	1	2020-11-15	1
17002	9	100	5	1	1	1	0	2021-02-21	1
17029	40	320	4	3	0	2	1	2020-12-26	1
17127	31	100	9	1	0	1	1	2021-02-08	0
17280	16	150	5	2	1	0	1	2020-12-05	1
17291	7	220	10	1	0	2	0	2020-10-11	0
17302	8	230	9	3	1	3	0	2021-01-09	1
17336	29	140	9	2	1	2	1	2021-04-05	0
17390	10	100	9	1	0	0	1	2020-10-30	1
17466	9	140	5	1	1	2	0	2021-01-27	1
17504	22	120	5	3	0	1	1	2020-10-24	1
17732	26	330	2	3	0	1	0	2021-04-06	1
17778	39	100	1	1	0	3	0	2021-05-03	1
17909	23	150	6	1	1	2	0	2020-09-18	1
18140	27	110	6	2	0	2	0	2021-03-17	1
18248	16	120	5	2	0	0	1	2020-10-23	0
18321	9	100	5	1	0	1	1	2021-04-02	1
18531	32	300	10	2	1	3	0	2020-10-21	0
18602	7	220	10	1	0	2	1	2021-03-01	1
19127	42	400	3	1	0	0	0	2020-10-25	1
19485	34	110	3	2	1	0	1	2021-03-10	0
19531	5	100	9	1	1	1	0	2020-10-12	1
19937	33	360	5	2	0	3	0	2020-11-01	0
20032	11	140	7	3	0	1	1	2021-01-08	0
20038	29	150	9	2	0	3	1	2021-03-28	0
20053	13	100	9	3	0	0	1	2021-01-19	1
20137	37	100	2	2	1	2	1	2021-02-09	0
20662	11	120	7	3	0	2	0	2020-10-28	1
20797	6	190	5	1	0	3	1	2021-03-13	1
20916	31	100	9	1	0	0	1	2021-01-06	0
20941	18	250	8	2	0	1	0	2020-10-31	1
21118	42	390	3	1	1	3	1	2021-03-27	0
21152	19	210	5	2	0	3	0	2020-12-01	0
21359	13	100	9	3	0	1	0	2020-10-24	1
21383	9	130	5	1	1	2	1	2020-11-22	0
21407	28	270	3	1	1	2	0	2020-12-23	1
21467	8	230	9	3	0	0	1	2020-11-03	1
21501	36	400	1	1	0	0	0	2021-01-16	0
21569	34	140	3	2	1	3	1	2021-03-29	1
21644	8	220	9	3	1	3	0	2020-12-15	0
21704	5	300	9	1	1	0	1	2020-11-09	1
21710	10	100	9	1	1	0	0	2021-01-04	1
21793	12	310	8	3	1	1	0	2021-04-28	1
22102	2	250	1	1	0	0	1	2020-12-26	1
22119	33	140	5	2	1	3	0	2021-03-25	1
22155	18	250	8	2	0	2	1	2020-12-19	0
22402	3	100	2	2	1	1	1	2020-10-17	0
22590	33	150	5	2	1	3	1	2020-10-11	0
22732	41	100	7	1	1	2	0	2021-01-28	1
22748	9	130	5	1	0	2	0	2021-03-13	0
22819	15	190	9	3	1	1	1	2021-03-26	1
22986	28	180	3	1	0	0	0	2020-12-25	1
23124	14	100	1	3	0	3	1	2021-01-31	1
23139	15	100	9	3	0	0	1	2021-01-24	1
23201	38	350	7	3	1	3	1	2020-11-09	0
23883	16	200	5	2	0	0	1	2021-03-03	1
23903	4	240	2	2	0	1	0	2021-01-05	0
24239	41	100	7	1	1	3	0	2020-10-08	0
24320	40	160	4	3	1	2	0	2021-04-16	1
24335	42	340	3	1	1	2	0	2020-12-05	0
24379	14	120	1	3	0	2	1	2021-02-06	0
24457	36	490	1	1	1	1	1	2020-11-25	1
24476	38	180	7	3	1	1	1	2020-10-31	1
24612	4	380	2	2	0	2	1	2020-10-07	1
24733	24	190	9	3	1	0	0	2020-10-07	1
24853	4	280	2	2	0	1	0	2021-01-29	0
24863	17	150	3	2	1	0	0	2021-03-26	0
24892	37	130	2	2	0	0	1	2020-12-11	0
25017	18	220	8	2	0	2	1	2021-01-04	0
25168	34	180	3	2	0	2	0	2020-11-14	1
25395	37	250	2	2	1	2	0	2021-01-27	1
25515	13	100	9	3	0	0	0	2020-10-18	1
25670	15	240	9	3	0	2	0	2020-12-13	0
25707	29	140	9	2	0	1	1	2021-04-18	1
25869	10	100	9	1	1	2	1	2020-10-24	1
25887	27	340	6	2	0	3	0	2020-11-03	0
25936	9	120	5	1	1	2	0	2020-12-08	1
25939	35	180	7	3	0	1	1	2021-04-07	1
25955	17	340	3	2	1	1	1	2021-05-04	1
26155	18	240	8	2	0	3	0	2020-11-10	1
26325	19	150	5	2	1	1	1	2020-11-09	1
26654	39	100	1	1	1	3	0	2021-03-16	0
26781	29	130	9	2	1	2	1	2020-10-26	0
26867	24	230	9	3	0	3	0	2020-11-19	0
26884	4	380	2	2	1	1	1	2020-11-06	1
26927	31	150	9	1	1	1	1	2020-10-03	0
27130	23	110	6	1	0	3	0	2020-11-16	0
27266	13	100	9	3	1	3	1	2021-02-01	0
27440	41	100	7	1	1	1	0	2021-02-02	1
27528	31	140	9	1	0	0	0	2021-04-19	0
27863	31	140	9	1	1	1	1	2021-04-14	0
27946	13	100	9	3	1	0	1	2020-12-12	1
28290	38	440	7	3	0	1	0	2021-05-10	0
28294	36	180	1	1	1	0	1	2021-03-03	1
28345	7	180	10	1	1	0	1	2021-03-14	1
28604	1	220	1	1	1	2	1	2020-12-04	0
28710	38	250	7	3	0	1	0	2021-01-05	0
28971	31	110	9	1	0	3	0	2020-10-14	0
29001	17	300	3	2	1	3	0	2020-11-23	0
29109	13	100	9	3	1	0	1	2020-10-01	1
29134	14	140	1	3	1	3	1	2020-12-21	1
29209	31	150	9	1	1	0	1	2020-09-27	1
29292	32	290	10	2	0	3	0	2020-11-10	0
29396	9	110	5	1	0	1	0	2021-03-17	1
29412	14	200	1	3	0	1	1	2020-12-15	0
29543	22	280	5	3	0	1	0	2020-10-17	0
29552	14	170	1	3	0	0	1	2020-09-19	1
29704	28	340	3	1	1	0	0	2020-11-06	1
29715	37	200	2	2	1	3	0	2021-04-27	1
29730	7	150	10	1	0	2	1	2020-10-21	0
29905	37	130	2	2	0	1	0	2020-12-10	1
29989	7	190	10	1	1	1	1	2020-09-28	0
30263	34	110	3	2	0	3	0	2021-03-08	1
30272	2	140	1	1	1	1	0	2020-11-26	0
30470	12	250	8	3	1	0	1	2021-03-19	1
30639	17	160	3	2	0	0	0	2021-02-03	0
30709	16	150	5	2	0	0	1	2021-03-07	0
30968	37	100	2	2	1	3	0	2021-02-01	1
30969	30	160	3	2	1	1	0	2021-01-11	0
31081	7	140	10	1	0	0	0	2020-11-05	1
31263	20	140	8	3	1	0	1	2021-01-05	0
31304	2	250	1	1	1	3	0	2020-11-29	0
31313	17	350	3	2	0	0	1	2021-02-16	1
31570	40	160	4	3	0	0	0	2020-12-13	1
31579	24	130	9	3	0	0	0	2021-04-02	0
31812	8	180	9	3	0	2	1	2021-01-22	0
31953	32	310	10	2	0	3	1	2020-11-18	0
32008	4	330	2	2	1	1	1	2021-02-07	1
32072	24	210	9	3	1	3	1	2021-03-01	1
32185	25	130	5	1	1	3	1	2021-01-26	1
32396	21	120	5	2	0	3	0	2020-11-23	1
32455	40	380	4	3	0	0	1	2021-03-11	0
32614	34	180	3	2	1	1	1	2021-02-22	0
32622	16	110	5	2	0	0	0	2021-01-14	1
32767	25	390	5	1	1	0	1	2020-11-15	1
32812	29	120	9	2	0	1	1	2020-11-23	0
32905	9	140	5	1	1	3	0	2021-04-29	0
32929	40	150	4	3	0	3	1	2021-05-02	0
32935	4	290	2	2	1	3	0	2020-12-02	1
33534	1	200	1	1	1	2	0	2021-03-09	1
33643	19	140	5	2	0	3	0	2020-11-23	1
33645	27	180	6	2	0	2	0	2020-10-13	1
33710	17	370	3	2	0	0	0	2021-02-15	1
33810	39	100	1	1	0	0	1	2020-12-09	1
33927	25	330	5	1	0	2	1	2021-01-23	1
33944	28	130	3	1	1	1	1	2020-10-06	0
33967	25	180	5	1	1	2	1	2020-11-04	0
33998	9	110	5	1	0	0	1	2020-12-21	1
34171	24	170	9	3	0	2	0	2020-12-05	1
34172	4	290	2	2	0	0	0	2020-10-28	1
34316	14	170	1	3	0	2	1	2020-12-18	0
34318	23	120	6	1	0	1	0	2021-01-20	1
34450	23	110	6	1	0	1	1	2021-03-27	1
34473	14	170	1	3	1	0	1	2020-11-18	1
34502	41	100	7	1	0	1	1	2021-01-30	1
34517	33	390	5	2	1	0	1	2020-12-01	1
34574	15	200	9	3	1	2	0	2020-11-17	1
34860	27	120	6	2	1	2	1	2020-11-10	0
35095	24	120	9	3	1	2	1	2020-12-16	0
35176	8	200	9	3	1	2	0	2020-10-20	0
35187	16	200	5	2	1	3	1	2021-01-03	0
35195	13	100	9	3	0	1	0	2021-03-12	1
35285	29	110	9	2	1	2	1	2020-10-18	0
35350	41	100	7	1	0	1	0	2021-01-21	0
35395	7	230	10	1	0	1	0	2021-04-18	1
35530	4	200	2	2	1	3	1	2020-12-13	0
35683	4	270	2	2	0	0	1	2020-11-15	0
35706	3	100	2	2	0	2	0	2020-12-15	0
35848	27	350	6	2	0	1	0	2020-11-04	1
36014	29	110	9	2	0	1	0	2020-12-24	1
36015	36	420	1	1	0	2	1	2020-11-20	1
36232	22	130	5	3	0	0	0	2021-01-08	0
36257	26	340	2	3	1	2	0	2021-03-30	1
36341	13	100	9	3	0	3	1	2021-02-16	0
36387	16	120	5	2	1	3	1	2021-04-09	0
36391	10	100	9	1	0	2	0	2021-02-23	1
36410	23	120	6	1	1	0	0	2021-01-16	0
36426	36	210	1	1	1	3	0	2020-12-22	0
36466	36	420	1	1	1	1	1	2021-04-12	0
36584	34	150	3	2	0	2	0	2021-01-30	0
36625	26	250	2	3	0	1	0	2020-11-28	1
36982	4	200	2	2	0	3	1	2020-11-13	1
36992	16	110	5	2	1	3	0	2021-02-15	1
37000	16	190	5	2	0	0	0	2021-02-08	0
37005	13	100	9	3	1	2	1	2020-10-11	1
37178	17	420	3	2	1	3	0	2020-11-20	1
37301	40	420	4	3	0	2	1	2021-01-02	0
37602	31	100	9	1	0	0	1	2020-11-26	0
37658	22	140	5	3	1	3	0	2020-09-22	0
37669	36	490	1	1	0	1	0	2021-04-06	0
37810	32	310	10	2	0	2	0	2021-04-04	0
37880	14	180	1	3	0	0	0	2020-09-10	0
37944	3	100	2	2	1	2	0	2021-05-07	1
37969	30	260	3	2	1	2	0	2020-11-25	1
37996	6	150	5	1	1	0	1	2021-02-08	1
38016	38	340	7	3	1	3	1	2021-02-24	1
38044	16	190	5	2	0	0	0	2020-11-03	0
38059	41	100	7	1	1	2	0	2020-12-14	1
38136	18	270	8	2	0	1	0	2020-10-05	0
38181	1	220	1	1	1	0	0	2020-12-09	1
38473	39	100	1	1	0	1	1	2021-02-05	0
38490	8	170	9	3	1	0	1	2021-02-02	0
38629	18	200	8	2	0	3	0	2020-12-04	1
38669	1	240	1	1	1	3	0	2020-10-21	1
38704	32	170	10	2	0	2	1	2020-11-27	1
38750	30	230	3	2	1	3	0	2021-04-24	0
38837	21	170	5	2	0	1	1	2020-12-28	1
38894	30	290	3	2	1	2	1	2021-01-29	1
39014	1	200	1	1	0	0	1	2021-03-08	0
39015	3	100	2	2	0	3	1	2020-11-07	0
39079	10	100	9	1	0	1	0	2021-04-20	1
39126	32	310	10	2	0	0	1	2020-09-26	1
39466	37	200	2	2	0	0	0	2021-03-02	1
39516	33	100	5	2	0	0	0	2021-02-20	1
40109	23	130	6	1	1	2	1	2021-03-09	1
40190	20	120	8	3	1	1	1	2020-12-18	0
40229	31	140	9	1	1	2	1	2021-04-10	1
40523	18	130	8	2	0	1	1	2021-03-11	1
40644	23	110	6	1	0	0	0	2020-12-28	0
40694	40	150	4	3	0	3	0	2020-11-01	1
40711	26	340	2	3	0	0	1	2020-12-26	1
40741	26	160	2	3	0	0	1	2020-12-25	0
40758	6	300	5	1	0	1	0	2021-01-08	1
40902	5	160	9	1	0	1	0	2021-01-20	0
40913	13	100	9	3	1	1	1	2021-04-12	0
40936	7	130	10	1	1	0	1	2020-11-19	1
41131	29	110	9	2	1	2	1	2021-02-08	0
41163	26	120	2	3	0	3	0	2021-01-24	1
41240	15	100	9	3	0	0	1	2021-01-09	1
41346	16	180	5	2	0	0	0	2020-12-15	1
41511	25	210	5	1	1	3	1	2020-10-02	1
41710	13	100	9	3	1	3	0	2020-12-03	1
41749	30	270	3	2	0	3	0	2020-10-24	0
41761	42	120	3	1	1	1	1	2020-10-17	1
41818	30	230	3	2	0	0	1	2020-11-26	1
41864	16	190	5	2	1	0	0	2021-02-22	1
41881	9	100	5	1	0	2	1	2021-03-02	1
41966	7	180	10	1	1	3	0	2021-04-22	1
42036	31	130	9	1	1	1	0	2021-03-31	1
42116	26	120	2	3	0	3	1	2020-11-25	1
42208	18	300	8	2	1	2	0	2020-12-08	0
42351	19	120	5	2	1	0	0	2021-02-21	0
42435	25	320	5	1	0	1	0	2021-03-17	0
42802	35	120	7	3	1	1	0	2020-12-29	1
42945	29	120	9	2	1	1	1	2021-01-18	1
43018	7	250	10	1	1	3	1	2020-10-31	0
43052	28	310	3	1	0	0	1	2021-01-14	0
43313	28	200	3	1	0	3	0	2020-10-19	0
43337	37	170	2	2	0	1	0	2021-04-25	1
43624	16	130	5	2	1	0	1	2021-02-20	0
43657	29	110	9	2	0	3	0	2020-11-04	0
43710	28	300	3	1	1	3	1	2021-04-25	0
43856	3	100	2	2	1	3	0	2020-11-01	1
43857	26	220	2	3	1	1	0	2021-01-10	0
43928	38	430	7	3	0	0	0	2020-12-24	0
43990	15	130	9	3	0	1	0	2020-11-24	1
43994	40	430	4	3	0	0	0	2020-10-16	0
44111	26	320	2	3	1	1	1	2020-12-03	0
44172	18	260	8	2	1	3	0	2020-12-23	1
44215	4	180	2	2	0	3	1	2021-01-10	0
44312	22	300	5	3	1	0	1	2020-11-12	0
44842	36	230	1	1	1	3	1	2021-03-22	1
44932	6	210	5	1	1	3	1	2021-01-13	0
45127	37	190	2	2	1	2	0	2020-10-09	0
45281	5	250	9	1	0	2	1	2021-04-23	0
45457	18	290	8	2	1	3	0	2020-11-02	1
45518	26	270	2	3	1	3	0	2021-03-23	1
45545	12	190	8	3	0	3	0	2020-12-03	1
46218	16	190	5	2	0	0	0	2020-11-11	1
46273	37	220	2	2	1	3	1	2020-11-24	0
46749	1	180	1	1	1	3	1	2020-10-29	0
46790	29	140	9	2	1	3	1	2020-10-16	1
46867	10	100	9	1	1	0	1	2021-01-30	1
46900	16	190	5	2	1	0	1	2021-02-06	1
47007	29	110	9	2	1	2	1	2021-03-15	1
47029	21	180	5	2	1	0	1	2021-02-26	1
47057	20	370	8	3	1	0	1	2020-12-14	1
47874	20	410	8	3	0	0	1	2020-10-30	0
48229	7	230	10	1	1	0	0	2020-10-13	1
48387	14	200	1	3	1	3	0	2020-11-04	0
48528	7	200	10	1	0	0	1	2021-03-26	1
48659	13	100	9	3	0	0	0	2020-11-12	1
48807	39	100	1	1	0	3	0	2020-09-13	1
48867	30	120	3	2	0	2	1	2021-04-08	1
48878	9	150	5	1	0	0	0	2021-03-21	0
48929	22	270	5	3	0	3	1	2021-02-28	0
49391	30	110	3	2	1	1	0	2021-03-06	1
49551	13	100	9	3	1	0	1	2021-04-21	0
49601	39	100	1	1	0	2	1	2020-10-16	0
49768	18	110	8	2	0	3	1	2021-04-17	0
50109	28	200	3	1	0	0	1	2021-02-22	1
50297	9	150	5	1	0	3	0	2021-02-25	1
50450	10	100	9	1	1	2	0	2021-02-26	0
50480	15	150	9	3	1	2	1	2021-03-05	1
50659	26	240	2	3	0	3	0	2020-11-30	1
51126	27	450	6	2	1	2	0	2020-12-04	0
51253	18	280	8	2	0	3	1	2020-11-16	0
51495	14	110	1	3	0	0	0	2021-02-13	1
51572	41	100	7	1	0	1	0	2020-10-27	1
51625	1	230	1	1	1	1	0	2020-12-05	1
51805	12	130	8	3	0	2	1	2020-09-21	0
51828	25	180	5	1	0	2	1	2020-10-10	1
52035	40	410	4	3	0	2	0	2021-02-09	1
52325	38	290	7	3	0	3	0	2021-03-24	1
52568	3	100	2	2	0	3	1	2020-12-06	0
52716	5	150	9	1	1	0	0	2021-01-03	1
52975	20	440	8	3	0	0	0	2020-11-14	0
52990	25	350	5	1	0	3	0	2021-04-11	0
53150	15	110	9	3	0	1	0	2021-05-14	1
53173	40	150	4	3	0	1	0	2020-12-08	1
53193	13	100	9	3	0	2	0	2020-11-11	0
53226	27	360	6	2	0	3	1	2020-10-15	0
53270	26	350	2	3	1	0	1	2020-10-17	1
53337	37	100	2	2	0	2	1	2021-05-05	0
53410	14	110	1	3	1	2	1	2021-03-13	1
53663	41	100	7	1	0	1	1	2020-09-11	0
53902	17	340	3	2	1	1	1	2021-03-04	0
53974	27	400	6	2	0	2	1	2020-11-13	0
53981	28	270	3	1	0	2	0	2021-01-19	1
54036	21	100	5	2	0	0	0	2020-11-16	0
54118	18	100	8	2	0	1	0	2020-12-05	1
54144	31	140	9	1	1	0	1	2020-10-29	0
54237	25	320	5	1	1	2	0	2021-04-03	0
54289	11	120	7	3	0	2	0	2021-04-14	0
54294	39	100	1	1	1	3	0	2021-01-27	1
54397	22	100	5	3	0	1	0	2020-10-30	0
54481	37	220	2	2	1	0	0	2020-10-20	0
54678	25	350	5	1	1	3	0	2020-09-17	0
54774	17	310	3	2	1	1	0	2021-01-02	0
54832	16	160	5	2	1	3	0	2020-12-06	1
55015	24	150	9	3	0	2	0	2021-04-01	0
55117	14	190	1	3	1	2	1	2020-10-19	1
55363	14	180	1	3	1	2	0	2021-03-10	1
55489	18	210	8	2	0	3	1	2020-10-14	1
55519	30	190	3	2	1	2	0	2021-01-09	1
55700	33	320	5	2	0	1	0	2021-02-19	1
55830	20	420	8	3	0	1	0	2021-02-26	0
55964	22	160	5	3	0	2	1	2020-11-05	1
55992	3	100	2	2	1	2	0	2020-11-02	0
56129	3	100	2	2	0	1	1	2021-02-02	0
56171	22	300	5	3	0	2	1	2021-04-15	0
56319	6	160	5	1	0	1	0	2021-03-16	0
56481	24	220	9	3	0	2	1	2020-11-29	1
56503	21	160	5	2	0	1	0	2021-01-17	0
56559	31	130	9	1	1	0	1	2021-02-27	1
56573	18	230	8	2	0	1	1	2021-03-14	1
56754	27	430	6	2	1	0	1	2021-02-12	0
56787	17	200	3	2	0	0	0	2021-02-25	1
56980	10	100	9	1	0	2	0	2021-03-24	0
57012	12	350	8	3	1	1	0	2020-12-31	0
57085	13	100	9	3	1	3	0	2020-09-25	0
57428	24	150	9	3	0	1	0	2020-11-20	0
57543	16	100	5	2	0	2	0	2021-04-05	0
57696	18	180	8	2	1	1	0	2020-12-10	0
57836	16	110	5	2	1	1	0	2020-11-08	1
57940	20	330	8	3	0	3	0	2021-04-27	1
58583	17	300	3	2	0	1	1	2021-03-25	0
58784	1	180	1	1	0	1	0	2021-02-16	0
59158	27	130	6	2	0	0	1	2021-02-09	0
59168	25	150	5	1	1	0	1	2021-03-06	1
59181	39	100	1	1	1	2	0	2020-10-12	1
59258	2	100	1	1	0	3	1	2021-02-02	1
59397	30	100	3	2	0	2	1	2020-10-11	1
59532	42	460	3	1	0	2	1	2021-01-10	1
59747	25	130	5	1	1	1	1	2021-03-31	1
60150	10	100	9	1	1	1	1	2020-10-06	1
60207	2	240	1	1	0	2	0	2021-03-16	0
60238	6	100	5	1	0	3	1	2020-12-21	1
60290	1	170	1	1	0	3	1	2020-12-31	1
60323	26	320	2	3	0	0	0	2021-05-05	1
60327	16	190	5	2	0	0	0	2021-02-03	1
60467	16	190	5	2	0	3	0	2021-02-14	1
60631	34	120	3	2	0	3	1	2021-01-22	1
60785	19	120	5	2	1	2	0	2020-11-19	1
60928	31	140	9	1	0	3	0	2020-11-17	1
60954	16	100	5	2	1	1	1	2021-03-19	0
61023	2	100	1	1	0	3	1	2021-04-23	1
61227	25	170	5	1	0	1	0	2021-01-05	1
61347	42	270	3	1	1	3	0	2020-12-29	1
61404	22	140	5	3	1	1	0	2020-10-14	1
61543	20	350	8	3	1	2	1	2021-01-07	0
61773	39	100	1	1	0	1	0	2020-12-22	0
61897	12	240	8	3	1	2	0	2021-05-13	0
61913	15	180	9	3	1	2	1	2020-12-06	0
62094	6	200	5	1	1	0	1	2021-01-01	0
62206	12	260	8	3	0	1	0	2021-01-01	1
62313	18	250	8	2	1	0	0	2021-01-12	0
62422	28	110	3	1	0	0	1	2020-11-25	1
62428	42	110	3	1	0	3	1	2020-11-12	0
62576	15	300	9	3	1	3	0	2021-02-11	1
62608	22	110	5	3	1	1	0	2020-12-25	0
62800	39	100	1	1	0	0	1	2021-02-07	1
62966	11	130	7	3	0	1	0	2021-04-19	0
63100	41	100	7	1	1	0	0	2021-04-08	1
63148	20	170	8	3	0	3	1	2020-11-29	1
63351	39	100	1	1	0	1	0	2021-02-14	1
63443	32	180	10	2	1	2	0	2020-12-28	0
63447	19	210	5	2	0	3	1	2020-12-02	1
63510	6	260	5	1	0	3	0	2021-01-28	1
63702	11	140	7	3	1	1	0	2021-02-19	0
63787	41	100	7	1	1	2	1	2021-03-24	1
63862	28	240	3	1	1	3	0	2021-04-06	1
63926	28	210	3	1	0	3	1	2020-12-06	0
64117	10	100	9	1	1	2	0	2021-03-22	0
64213	10	100	9	1	0	1	0	2020-12-07	0
64265	21	160	5	2	1	3	1	2020-11-05	0
64267	28	240	3	1	1	3	0	2020-11-26	0
64500	18	130	8	2	1	1	0	2021-01-28	0
64620	18	100	8	2	0	2	0	2021-01-13	0
64710	38	310	7	3	1	2	0	2021-03-28	0
64773	32	240	10	2	0	3	1	2020-11-22	1
64878	39	100	1	1	1	2	1	2021-02-04	0
64934	15	120	9	3	0	2	1	2021-04-10	1
64943	14	130	1	3	1	2	1	2020-11-08	0
65098	14	100	1	3	0	0	1	2020-10-12	1
65125	7	130	10	1	1	1	0	2021-04-24	1
65143	23	110	6	1	1	1	1	2020-11-13	0
65248	31	120	9	1	1	1	0	2020-10-06	1
65257	41	100	7	1	1	0	0	2021-02-23	1
65260	34	180	3	2	1	3	1	2020-10-22	0
65315	26	150	2	3	1	1	0	2020-10-15	0
65349	39	100	1	1	0	2	0	2020-11-17	0
65423	12	230	8	3	1	1	0	2020-09-24	1
65517	36	270	1	1	0	2	1	2021-04-13	1
65556	41	100	7	1	1	1	1	2021-01-18	0
65638	26	180	2	3	1	1	0	2021-01-23	0
65769	4	200	2	2	0	2	1	2020-10-20	1
65780	36	470	1	1	0	2	0	2020-12-06	1
65793	29	120	9	2	0	0	0	2021-03-27	0
65926	2	140	1	1	0	0	0	2020-12-18	1
66102	32	320	10	2	1	0	1	2021-04-25	1
66111	15	230	9	3	1	2	1	2021-03-22	0
66418	22	160	5	3	0	3	0	2021-02-11	1
66424	28	120	3	1	0	3	1	2020-12-07	0
66458	23	140	6	1	0	2	1	2020-12-03	1
66721	11	130	7	3	1	0	0	2020-12-31	0
66844	40	210	4	3	1	3	1	2020-11-20	1
66988	33	320	5	2	1	0	0	2021-02-28	0
67077	39	100	1	1	1	1	1	2020-10-21	0
67086	1	230	1	1	0	1	0	2021-04-09	0
67266	42	240	3	1	1	2	1	2021-04-22	1
67331	14	170	1	3	0	3	0	2020-10-23	0
67536	23	100	6	1	1	1	1	2021-04-29	1
67558	14	190	1	3	1	0	0	2021-04-14	1
67821	28	100	3	1	1	3	1	2021-03-10	1
67893	27	310	6	2	1	0	0	2021-03-12	1
67919	42	190	3	1	1	3	1	2021-05-02	1
67985	28	170	3	1	0	0	1	2021-03-29	0
67992	12	240	8	3	1	2	1	2020-11-30	0
68113	27	350	6	2	1	1	0	2020-12-02	1
68117	17	120	3	2	1	2	0	2021-03-08	0
68151	5	120	9	1	0	3	0	2021-04-21	0
68527	41	100	7	1	1	2	0	2021-02-10	0
68834	6	260	5	1	0	0	0	2021-01-10	0
68950	29	120	9	2	1	3	1	2020-11-15	1
69544	27	300	6	2	1	2	1	2020-12-28	1
69633	6	250	5	1	0	0	1	2021-02-14	0
69637	27	250	6	2	1	3	0	2021-01-30	1
69756	12	350	8	3	1	2	0	2020-11-21	1
69860	25	310	5	1	1	1	1	2021-03-20	1
69986	16	160	5	2	0	1	0	2021-01-25	0
70069	13	100	9	3	0	1	0	2020-12-30	0
70204	31	120	9	1	0	1	1	2021-01-02	0
70379	20	410	8	3	1	3	0	2021-01-29	0
70392	29	110	9	2	0	1	1	2021-02-03	0
70562	26	190	2	3	0	3	1	2021-01-06	1
71006	8	240	9	3	0	2	1	2021-03-21	1
71135	12	330	8	3	0	2	0	2021-01-15	0
71254	31	120	9	1	1	1	0	2020-11-29	0
71318	8	230	9	3	0	1	1	2020-10-26	1
71423	23	120	6	1	0	0	0	2020-11-14	0
71447	11	130	7	3	1	3	0	2021-02-17	1
71535	31	130	9	1	0	2	1	2020-10-23	0
71701	6	260	5	1	1	1	1	2020-12-31	0
71715	18	230	8	2	1	3	1	2020-09-08	1
71721	15	210	9	3	0	2	0	2020-09-12	1
71873	40	380	4	3	0	2	1	2021-05-01	1
71950	3	100	2	2	1	1	1	2020-11-13	1
